Track ID,Date Added,Persistent ID,Track Type,Podcast,Unplayed,Name,Album,Location,Size,Total Time,Year,BPM,Date Modified,Bit Rate,Sample Rate,Play Date,Play Date UTC,File Folder Count,Library Folder Count,Artist,Genre,Kind,Comments,Skip Count,Skip Date,Artwork Count,Album Artist,Composer,Grouping,Work,Track Number,Track Count,Sort Name,Part Of Gapless Album,Sort Album,Disc Number,Disc Count,Play Count,Sort Artist,Volume Adjustment,Release Date,Purchased,Sort Album Artist,Sort Composer,Compilation,Stop Time,Rating,Rating Computed,Album Rating,Album Rating Computed,Explicit,Start Time,Disabled,Clean,Playlist Only
5730,2014-05-23T11:04:40Z,FDB35A013310519C,URL,,,Teaser.,Teaser.,https://teaserradio.podomatic.com/rss2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5732,2014-05-23T11:07:10Z,D3E4B7F9F1CB7C18,URL,,,Hidden Forest Podcast,Hidden Forest Podcast,http://hiddenforest.podomatic.com/rss2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5734,2014-07-25T01:51:31Z,38564046F185B6BE,File,,,I Love Progressive House Collection (Original Mix),Progressive House Collection 13,file://localhost/E:/Nick/Music/!Exclusive!%20M.Boa/Progressive%20House%20Collection%2013/I%20Love%20Progressive%20House%20Collection.mp3,12385287,309002,2009,130,2012-10-29T11:02:40Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,!Exclusive! M.Boa,House,MPEG audio file,fake.do.am / icq: 445924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5736,2014-07-25T01:51:31Z,A63A3684A32F667A,File,,,BASS Overload (Urban Assault remix),BrainWars,file://localhost/E:/Nick/Music/(((d_HARD%20FM_b)))/BrainWars/BASS%20Overload%20(Urban%20Assault%20remix).mp3,14561834,305293,2012,,2022-10-26T03:04:33Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,Razat,"DubStep, Breaks",MPEG audio file,(((d|HARD FM|b))) | HARDFM.RU,1,2022-10-26T03:04:49Z,1,(((d|HARD FM|b))),(((d|HARD FM|b))),(((d|HARD FM|b))),(((d|HARD FM|b))),,,,,,,,,,,,,,,,,,,,,,,,,
5738,2014-07-25T01:51:31Z,2B7B1FBCC24BBB6E,File,,,Goose Offender,,file://localhost/E:/Nick/Music/(www.centrummp3.eu)/Unknown%20Album/Goose%20Offender.mp3,12672619,288052,,128,2013-06-25T02:59:06Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,Modek,,MPEG audio file,(www.centrummp3.eu),,,1,(www.centrummp3.eu),(www.centrummp3.eu),,,,,,,,,,,,,,,,,,,,,,,,,,,
5740,2014-07-25T01:51:31Z,E8DAE17CDD1603B3,File,,,Bulletproof ft. Eva Simons (Original Mix),,file://localhost/E:/Nick/Music/(www.PlayAll.lt)/Unknown%20Album/Bulletproof%20ft.%20Eva%20Simons%20(Original.mp3,10535565,262582,,140,2013-06-25T02:59:08Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,Doctor P,,MPEG audio file,(www.PlayAll.lt),,,1,(www.PlayAll.lt),(www.PlayAll.lt),(www.PlayAll.lt),,,,,,,,,,,,,,,,,,,,,,,,,,
5742,2014-07-25T01:51:31Z,805AD1E5BD1E2D7A,File,,,Low Density,Tech House 2012 Vol 3,file://localhost/E:/Nick/Music/16%20Bit%20Lolitas%20Presents%20Bug%20Report/Tech%20House%202012%20Vol%203/09%20Low%20Density.mp3,17418707,434364,2012,126,2012-12-03T14:19:10Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,16 Bit Lolitas Presents Bug Report,House,MPEG audio file,,,,,,,,,9,15,,,,,,,,,,,,,,,,,,,,,,,
5744,2014-07-25T01:51:31Z,677E3F8462D11E40,File,,,The Touch You Trust (Anominiss Deep House Dub),DJ Friendly Dance Vibe 2011,file://localhost/E:/Nick/Music/1st%20Class/DJ%20Friendly%20Dance%20Vibe%202011/09%20The%20Touch%20You%20Trust%20(Anominiss%20De.mp3,18956288,473808,2011,128,2013-06-25T02:59:14Z,320,44100,4294963696,2040-02-05T18:28:16Z,4,1,1st Class,House,MPEG audio file,8A - ,,,,,,,,9,,Touch You Trust (Anominiss Deep House Dub),,,,,,,,,,,,,,,,,,,,,,
5746,2014-07-25T01:51:31Z,BC53B6F8306F1690,File,,,Epic Meal Time (1uP's Haters Be SMART Preview),,file://localhost/E:/Nick/Music/1up/Unknown%20Album/Epic%20Meal%20Time%20(1uP's%20Haters%20Be%20SMAR.mp3,2206217,137247,,140,2013-06-25T02:59:14Z,128,44100,4294963696,2040-02-05T18:28:16Z,4,1,1up,,MPEG audio file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5748,2014-07-25T01:51:31Z,62A73FAC07DB7A7F,File,,,Lift U Up (Sound of Stereo for the Bigger & Bolder Remix),,file://localhost/E:/Nick/Music/2%20Fabiola/Unknown%20Album/Lift%20U%20Up%20(Sound%20of%20Stereo%20for%20the%20B.mp3,5355016,167016,2009,136,2013-06-25T02:59:16Z,256,48000,4294963696,2040-02-05T18:28:16Z,4,1,2 Fabiola,Iphone,MPEG audio file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
